accession	start	end	strand	matching_mode	reference_id	reference_start	reference_end	reference_product	PhageMine_product	PhageMine_category	PhageMine_review_notes	Pharokka_product	Pharokka_category	Pharokka_review_notes
NC_000866.4	167965	168903	-	exact	NP_049889.1	167965	168903	RIIB lysis inhibitor	protein riib	UNRESOLVED_REVIEW_REQUIRED		RIIB lysis inhibitor	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	191	736	+	exact	NP_040580.1	191	736	terminase small subunit	conserved phage protein of unknown function	ABSTENTION		terminase small subunit	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	2633	2839	+	exact	NP_040582.1	2633	2839	head-tail adaptor Ad1	head completion protein	UNRESOLVED_REVIEW_REQUIRED		head-tail adaptor Ad1	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	2836	4437	+	exact	NP_040583.1	2836	4437	portal protein	portal protein b	UNRESOLVED_REVIEW_REQUIRED		portal protein	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	5747	6079	+	exact	NP_040586.1	5747	6079	head decoration	capsid decoration protein	UNRESOLVED_REVIEW_REQUIRED		head decoration	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	6135	7160	+	exact	NP_040587.1	6135	7160	major capsid protein	major capsid protein	EXACT_PRODUCT_AGREEMENT		hypothetical protein	ABSTENTION	
NC_001416.1	7977	8555	+	exact	NP_040590.1	7977	8555	tail protein	tail completion protein z	UNRESOLVED_REVIEW_REQUIRED		hypothetical protein	ABSTENTION	
NC_001416.1	8552	8947	+	exact	NP_040591.1	8552	8947	tail terminator	tail tube terminator protein	UNRESOLVED_REVIEW_REQUIRED		tail terminator	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	8955	9695	+	exact	NP_040592.1	8955	9695	major tail protein	tail tube protein	UNRESOLVED_REVIEW_REQUIRED		major tail protein	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	9711	10133	+	exact	NP_040593.1	9711	10133	minor tail protein G	tail assembly protein g	UNRESOLVED_REVIEW_REQUIRED		hypothetical protein	ABSTENTION	
NC_001416.1	10542	13103	+	exact	NP_040595.1	10542	13103	tail length tape measure protein	tape measure protein	UNRESOLVED_REVIEW_REQUIRED		tail length tape measure protein	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	13100	13429	+	exact	NP_040596.1	13100	13429	minor tail protein	tail tip protein m	UNRESOLVED_REVIEW_REQUIRED		minor tail protein	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	13429	14127	+	exact	NP_040597.1	13429	14127	minor tail protein	tail tip protein l	UNRESOLVED_REVIEW_REQUIRED		minor tail protein	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	14276	14875	+	exact	NP_040598.1	14276	14875	C40 family peptidase	tail tip assembly protein k	UNRESOLVED_REVIEW_REQUIRED		hypothetical protein	ABSTENTION	
NC_001416.1	14773	15444	+	exact	NP_040599.1	14773	15444	tail assembly protein	tail tip assembly protein i	UNRESOLVED_REVIEW_REQUIRED		hypothetical protein	ABSTENTION	
NC_001416.1	15505	18903	+	exact	NP_040600.1	15505	18903	central tail fiber J	tip attachment protein j	UNRESOLVED_REVIEW_REQUIRED		tail fiber protein	UNRESOLVED_REVIEW_REQUIRED	
NC_001416.1	18965	19585	+	exact	NP_040601.1	18965	19585	Lom outer membrane protein	outer membrane protein lom	UNRESOLVED_REVIEW_REQUIRED		Lom outer membrane protein	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	19650	20855	+	exact	NP_040602.1	19650	20855	tail fiber protein	tail fiber protein	EXACT_PRODUCT_AGREEMENT		tail fiber protein	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	21029	21973	+	exact	NP_040604.1	21029	21973	tail fiber protein	tail fiber protein	EXACT_PRODUCT_AGREEMENT		tail fiber protein	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	21973	22557	+	exact	NP_040605.1	21973	22557	tail fiber assembly	tail fiber assembly protein	UNRESOLVED_REVIEW_REQUIRED		tail fiber assembly	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	22686	23918	-	exact	NP_040606.1	22686	23918	ea47	protein ea47	UNRESOLVED_REVIEW_REQUIRED		hypothetical protein	ABSTENTION	
NC_001416.1	24509	25399	-	exact	NP_040607.1	24509	25399	HNH endonuclease	protein ea31	UNRESOLVED_REVIEW_REQUIRED		HNH endonuclease	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	25396	26973	-	exact	NP_040608.1	25396	26973	AAA family ATPase	protein ea59	UNRESOLVED_REVIEW_REQUIRED		hypothetical protein	ABSTENTION	
NC_001416.1	27812	28882	-	exact	NP_040609.1	27812	28882	integrase	integrase	EXACT_PRODUCT_AGREEMENT		integrase	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	28860	29078	-	exact	NP_040610.1	28860	29078	excisionase	excisionase	EXACT_PRODUCT_AGREEMENT		excisionase	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	29118	29285	-	exact	NP_597778.1	29118	29285	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_001416.1	29374	29655	-	exact	NP_040611.1	29374	29655	ea8.5	protein ea8.5	UNRESOLVED_REVIEW_REQUIRED		hypothetical protein	ABSTENTION	
NC_001416.1	31005	31196	-	exact	NP_040614.1	31005	31196	DUF1382 family protein	conserved phage protein of unknown function	ABSTENTION		hypothetical protein	ABSTENTION	
NC_001416.1	31169	31351	-	exact	NP_040615.1	31169	31351	DUF1317 domain-containing protein	conserved phage protein of unknown function	ABSTENTION		hypothetical protein	ABSTENTION	
NC_001416.1	31348	32028	-	exact	NP_040616.1	31348	32028	exonuclease	exonuclease	EXACT_PRODUCT_AGREEMENT		exonuclease	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	32025	32810	-	exact	NP_040617.1	32025	32810	RecT-like ssDNA annealing protein	recombination protein bet	UNRESOLVED_REVIEW_REQUIRED		RecT-like ssDNA annealing protein	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	32816	33232	-	exact	NP_040618.1	32816	33232	gam-like host nuclease inhibitor	host-nuclease inhibitor protein gam	UNRESOLVED_REVIEW_REQUIRED		gam-like host nuclease inhibitor	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	33536	33904	-	exact	NP_040621.1	33536	33904	hypothetical protein	protein ea10	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_001416.1	34087	34287	-	exact	NP_040622.1	34087	34287	restriction alleviation ral	restriction inhibitor protein ral	UNRESOLVED_REVIEW_REQUIRED		restriction alleviation ral	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	35037	35438	-	exact	NP_040625.1	35037	35438	anti-termination protein N-like	antitermination protein n	UNRESOLVED_REVIEW_REQUIRED		anti-termination protein N-like	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	35825	36259	-	exact	NP_040626.1	35825	36259	RexB-like exclusion protein	protein rexb	UNRESOLVED_REVIEW_REQUIRED		RexB-like exclusion protein	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	36275	37114	-	exact	NP_040627.1	36275	37114	RexA-like exclusion protein	protein rexa	UNRESOLVED_REVIEW_REQUIRED		RexA-like exclusion protein	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	37227	37940	-	exact	NP_040628.1	37227	37940	LexA family transcriptional regulator	helix-turn-helix transcriptional regulator	UNRESOLVED_REVIEW_REQUIRED		hypothetical protein	ABSTENTION	
NC_001416.1	38041	38241	+	exact	NP_040629.1	38041	38241	Cro/CI family transcriptional regulator	regulatory protein cro	UNRESOLVED_REVIEW_REQUIRED		transcriptional repressor	UNRESOLVED_REVIEW_REQUIRED	
NC_001416.1	38686	39585	+	exact	NP_040631.1	38686	39585	replication initiation O-like	replication protein o	UNRESOLVED_REVIEW_REQUIRED		replication initiation O-like	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	39582	40283	+	exact	NP_040632.1	39582	40283	DNA replication protein	helicase loader	UNRESOLVED_REVIEW_REQUIRED		hypothetical protein	ABSTENTION	
NC_001416.1	40280	40570	+	exact	NP_040633.1	40280	40570	Ren-like exclusion protein	protein ren	UNRESOLVED_REVIEW_REQUIRED		Ren-like exclusion protein	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	40644	41084	+	exact	NP_040634.1	40644	41084	NinB/ Orf homologous recombination mediator	protein ninb	UNRESOLVED_REVIEW_REQUIRED		NinB/ Orf homologous recombination mediator	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	42429	43043	+	exact	NP_040639.1	42429	43043	NinG/ Rap DNA junction specific endonuclease	protein ning	UNRESOLVED_REVIEW_REQUIRED		NinG/ Rap DNA junction specific endonuclease	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	43886	44509	+	exact	NP_040642.1	43886	44509	antitermination protein	antitermination protein q	UNRESOLVED_REVIEW_REQUIRED		anti-termination protein Q-like	UNRESOLVED_REVIEW_REQUIRED	
NC_001416.1	45186	45509	+	exact	NP_040644.1	45186	45509	holin/anti-holin	antiholin	UNRESOLVED_REVIEW_REQUIRED		holin/anti-holin	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	45493	45969	+	exact	NP_040645.1	45493	45969	endolysin	endolysin	EXACT_PRODUCT_AGREEMENT		endolysin	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	45966	46427	+	exact	NP_040646.1	45966	46427	Rz-like spanin	spanin, inner membrane subunit	UNRESOLVED_REVIEW_REQUIRED		Rz-like spanin	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	46459	46752	-	exact	NP_597780.1	46459	46752	Bor-like outer membrane protein	lipoprotein bor	UNRESOLVED_REVIEW_REQUIRED		Bor-like outer membrane protein	EXACT_PRODUCT_AGREEMENT	
NC_001416.1	47738	47944	+	exact	NP_597782.1	47738	47944	hypothetical protein	uncharacterized protein ybcw	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_001604.1	925	1278	+	exact	NP_041954.1	925	1278	ocr-like anti-restriction	protein ocr	UNRESOLVED_REVIEW_REQUIRED		ocr-like anti-restriction	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	1278	1433	+	exact	NP_041955.1	1278	1433	hypothetical protein	gene 0.4 protein	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_001604.1	2021	3100	+	exact	NP_041959.1	2021	3100	serine-threonine kinase	protein kinase 0.7	UNRESOLVED_REVIEW_REQUIRED		serine-threonine kinase	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	3171	5822	+	exact	NP_041960.1	3171	5822	RNA polymerase	conserved phage protein of unknown function	ABSTENTION		RNA polymerase	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	6007	6135	+	exact	NP_041961.1	6007	6135	hypothetical protein	uncharacterized protein 1.1	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_001604.1	6137	6394	+	exact	NP_041962.1	6137	6394	dGTPase inhibitor; target for F exclusion	inhibitor of dgtpase	UNRESOLVED_REVIEW_REQUIRED		dGTPase inhibitor target for F exclusion	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	6475	7554	+	exact	NP_041963.1	6475	7554	DNA ligase	dna ligase	EXACT_PRODUCT_AGREEMENT		DNA ligase	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	7608	7763	+	exact	NP_041964.1	7608	7763	hypothetical protein	protein 1.4	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_001604.1	7791	7880	+	exact	NP_041965.1	7791	7880	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_001604.1	7906	8166	+	exact	NP_041966.1	7906	8166	hypothetical protein	protein 1.6	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_001604.1	8166	8756	+	exact	NP_041967.1	8166	8756	nucleotide kinase	nucleotide kinase gp1.7	UNRESOLVED_REVIEW_REQUIRED		nucleotide kinase	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	8749	8895	+	exact	NP_041968.1	8749	8895	hypothetical protein	protein 1.8	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_001604.1	9158	9856	+	exact	NP_041970.1	9158	9856	Gp2.5-like ssDNA binding protein and ssDNA annealing protein	single-stranded dna-binding protein	UNRESOLVED_REVIEW_REQUIRED		Gp2.5-like ssDNA binding protein and ssDNA annealing protein	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	9857	10276	+	exact	NP_041971.1	9857	10276	endonuclease	hnh endonuclease	UNRESOLVED_REVIEW_REQUIRED		endonuclease	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	10257	10706	+	exact	NP_041972.1	10257	10706	endonuclease	endonuclease i	UNRESOLVED_REVIEW_REQUIRED		endonuclease	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	10706	11161	+	exact	NP_041973.1	10706	11161	amidase	endolysin	UNRESOLVED_REVIEW_REQUIRED		amidase	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	11225	11590	+	exact	NP_041974.1	11225	11590	HNH endonuclease	protein 3.8	UNRESOLVED_REVIEW_REQUIRED		HNH endonuclease	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	11565	13265	+	exact	NP_041975.1	11565	13265	DNA primase/helicase	dna helicase/primase	UNRESOLVED_REVIEW_REQUIRED		DNA primase/helicase	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	13352	13564	+	exact	NP_041979.1	13352	13564	hypothetical protein	protein 4.3	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_001604.1	13584	13853	+	exact	NP_041980.1	13584	13853	hypothetical protein	inhibitor of toxin/antitoxin system	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_001604.1	14353	16467	+	exact	NP_041982.1	14353	16467	DNA polymerase I	family-a dna polymerase	UNRESOLVED_REVIEW_REQUIRED		DNA polymerase I	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	16483	16839	+	exact	NP_041983.1	16483	16839	hypothetical protein	protein 5.3	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_001604.1	16851	17150	+	exact	NP_041985.1	16851	17150	DUF2675 domain-containing protein	protein suppressor of silencing	UNRESOLVED_REVIEW_REQUIRED		hypothetical protein	ABSTENTION	
NC_001604.1	17150	17359	+	exact	NP_041986.1	17150	17359	hypothetical protein	gene 5.7 protein	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_001604.1	17359	17517	+	exact	NP_041987.1	17359	17517	Gp5.9-like inihibitor of recBCD nuclease	gene 5.9 protein	UNRESOLVED_REVIEW_REQUIRED		Gp5.9-like inihibitor of recBCD nuclease	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	17504	18406	+	exact	NP_041988.1	17504	18406	exonuclease	exonuclease	EXACT_PRODUCT_AGREEMENT		exonuclease	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	18394	18507	+	exact	NP_041989.1	18394	18507	DUF5516 domain-containing protein	protein 6.3	UNRESOLVED_REVIEW_REQUIRED		hypothetical protein	ABSTENTION	
NC_001604.1	18605	18859	+	exact	NP_041990.1	18605	18859	DUF2717 domain-containing protein	protein 6.5	UNRESOLVED_REVIEW_REQUIRED		hypothetical protein	ABSTENTION	
NC_001604.1	18864	19130	+	exact	NP_041991.1	18864	19130	DUF5476 family protein	protein 6.7	UNRESOLVED_REVIEW_REQUIRED		hypothetical protein	ABSTENTION	
NC_001604.1	19130	19531	+	exact	NP_041992.1	19130	19531	host range and adsorption protein	protein 7	UNRESOLVED_REVIEW_REQUIRED		host range and adsorption protein	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	19535	19834	+	exact	NP_041993.1	19535	19834	host range and adsorption protein	protein 7.3	UNRESOLVED_REVIEW_REQUIRED		host range and adsorption protein	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	19848	20240	+	exact	NP_041994.1	19848	20240	HNH endonuclease	hnh endonuclease	EXACT_PRODUCT_AGREEMENT		HNH endonuclease	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	21950	22873	+	exact	NP_041996.1	21950	22873	head assembly	capsid assembly scaffolding protein	UNRESOLVED_REVIEW_REQUIRED		head assembly	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	22967	24004	+	exact	NP_041998.1	22967	24004	major head protein	conserved phage protein of unknown function	ABSTENTION		major head protein	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	24228	24818	+	exact	NP_041999.1	24228	24818	tail protein	tail tubular protein gp11	UNRESOLVED_REVIEW_REQUIRED		tail protein	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	24842	27226	+	exact	NP_042000.1	24842	27226	tail protein	tail tubular protein gp12	UNRESOLVED_REVIEW_REQUIRED		tail protein	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	27307	27723	+	exact	NP_042001.1	27307	27723	internal virion protein	probable scaffold protein gp13	UNRESOLVED_REVIEW_REQUIRED		internal virion protein	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	27728	28318	+	exact	NP_042002.1	27728	28318	internal virion protein	internal virion protein gp14	UNRESOLVED_REVIEW_REQUIRED		internal virion protein	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	28325	30568	+	exact	NP_042003.1	28325	30568	internal virion protein	internal virion protein gp15	UNRESOLVED_REVIEW_REQUIRED		internal virion protein	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	30595	34551	+	exact	NP_042004.1	30595	34551	internal virion protein with endolysin domain	peptidoglycan transglycosylase gp16	UNRESOLVED_REVIEW_REQUIRED		internal virion protein with endolysin domain	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	34624	36285	+	exact	NP_042005.1	34624	36285	tail fiber protein	tail fiber protein	EXACT_PRODUCT_AGREEMENT		tail fiber protein	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	36344	36547	+	exact	NP_042006.1	36344	36547	holin	holin	EXACT_PRODUCT_AGREEMENT		holin	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	36553	36822	+	exact	NP_042007.1	36553	36822	terminase small subunit	terminase, small subunit gp18	UNRESOLVED_REVIEW_REQUIRED		terminase small subunit	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	36917	37348	+	exact	NP_042008.1	36917	37348	Rz-like spanin	spanin, inner membrane subunit	UNRESOLVED_REVIEW_REQUIRED		Rz-like spanin	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	37370	39130	+	exact	NP_042010.1	37370	39130	terminase large subunit	terminase, large subunit	EXACT_PRODUCT_AGREEMENT		terminase large subunit	EXACT_PRODUCT_AGREEMENT	
NC_001604.1	39389	39538	+	exact	NP_042013.1	39389	39538	hypothetical protein	protein 19.5	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	124	858	-	exact	YP_006829.1	124	858	deoxynucleoside-5'-monophosphatase	5'-deoxynucleotidase	UNRESOLVED_REVIEW_REQUIRED		polynucleotide kinase	UNRESOLVED_REVIEW_REQUIRED	
NC_005859.1	939	1334	-	exact	YP_006830.1	939	1334	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	1371	1649	-	exact	YP_006831.1	1371	1649	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	1706	3376	-	exact	YP_006832.1	1706	3376	DNA transfer protein	protein a1	UNRESOLVED_REVIEW_REQUIRED		DNA transfer protein	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	3473	3670	-	exact	YP_006833.1	3473	3670	membrane protein	membrane protein	EXACT_PRODUCT_AGREEMENT		membrane protein	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	3727	4134	-	exact	YP_006834.1	3727	4134	DNA binding protein	protein a2	UNRESOLVED_REVIEW_REQUIRED		DNA binding protein	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	4230	4481	-	exact	YP_006835.1	4230	4481	hypothetical protein	uncharacterized 9.2 kda protein	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	4715	4918	-	exact	YP_006836.1	4715	4918	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	5411	5929	-	exact	YP_006838.1	5411	5929	putative H-N-H-endonuclease P-TflVII	hnh endonuclease	UNRESOLVED_REVIEW_REQUIRED		hypothetical protein	ABSTENTION	
NC_005859.1	6495	7505	+	exact	YP_006839.1	6495	7505	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	7624	7854	+	exact	YP_006840.1	7624	7854	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	7904	8083	+	exact	YP_006841.1	7904	8083	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	8086	8298	+	exact	YP_006842.1	8086	8298	endonuclease nicking abasic sites generated by host uracil glycosylase Ung	endonuclease nicking abasic sites generated by host uracil glycosylase ung	EXACT_PRODUCT_AGREEMENT		endonuclease nicking abasic sites generated by host uracil glycosylase Ung	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	8300	8644	+	exact	YP_006843.1	8300	8644	hypothetical protein	dna-(apurinic or apyrimidinic site) endonuclease	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	8681	8938	+	exact	YP_006844.1	8681	8938	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	8954	9157	+	exact	YP_006845.1	8954	9157	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	10936	11820	-	exact	YP_006846.1	10936	11820	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	11902	12510	-	exact	YP_006847.1	11902	12510	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	12510	12695	-	exact	YP_006848.1	12510	12695	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	12695	12928	-	exact	YP_006849.1	12695	12928	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	12916	13206	-	exact	YP_006850.1	12916	13206	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	13907	14278	-	exact	YP_006853.1	13907	14278	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	14226	14687	-	exact	YP_006854.1	14226	14687	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	14684	14884	-	exact	YP_006855.1	14684	14884	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	14984	15310	-	exact	YP_006856.1	14984	15310	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	15300	15545	-	exact	YP_006857.1	15300	15545	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	15542	15823	-	exact	YP_006858.1	15542	15823	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	15823	15987	-	exact	YP_006859.1	15823	15987	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	15987	16238	-	exact	YP_006860.1	15987	16238	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	16317	16748	-	exact	YP_006861.1	16317	16748	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	16916	17437	-	exact	YP_006862.1	16916	17437	phosphoesterase	phosphoesterase	EXACT_PRODUCT_AGREEMENT		phosphoesterase	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	17437	18300	-	exact	YP_006863.1	17437	18300	NinI-like serine-threonine phosphatase	nini-like serine-threonine phosphatase	EXACT_PRODUCT_AGREEMENT		NinI-like serine-threonine phosphatase	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	18303	18548	-	exact	YP_006864.1	18303	18548	major head protein	major capsid protein	EQUIVALENT_FUNCTION		major head protein	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	18646	18936	-	exact	YP_006865.1	18646	18936	putative thioredoxin	thioredoxin domain	UNRESOLVED_REVIEW_REQUIRED		thioredoxin domain	UNRESOLVED_REVIEW_REQUIRED	
NC_005859.1	18929	19360	-	exact	YP_006866.1	18929	19360	hypothetical protein	dna binding protein	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	19436	19852	-	exact	YP_006867.1	19436	19852	hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_005859.1	19931	20344	-	exact	YP_006868.1	19931	20344	endolysin	l-alanyl-d-glutamate peptidase	UNRESOLVED_REVIEW_REQUIRED		endolysin	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	21154	21753	-	exact	YP_006870.1	21154	21753	ATP-dependent protease	atp-dependent protease	EXACT_PRODUCT_AGREEMENT		ATP-dependent protease	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	21766	22518	-	exact	YP_006871.1	21766	22518	deoxynucleoside monophosphate kinase	deoxynucleoside-5'-monophosphate kinase	UNRESOLVED_REVIEW_REQUIRED		deoxynucleoside monophosphate kinase	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	22518	22871	-	exact	YP_006872.1	22518	22871	Rz-like spanin	rz-like spanin	EXACT_PRODUCT_AGREEMENT		Rz-like spanin	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	22802	23245	-	exact	YP_006873.1	22802	23245	Rz-like spanin	rz-like spanin	EXACT_PRODUCT_AGREEMENT		Rz-like spanin	EXACT_PRODUCT_AGREEMENT	
NC_005859.1	23245	23742	-	exact	YP_006874.1	23245	23742	H-N-H-endonuclease F-TflVI	hnh endonuclease	UNRESOLVED_REVIEW_REQUIRED		HNH endonuclease	UNRESOLVED_REVIEW_REQUIRED	
