adjudication_id	prediction_A_tool	prediction_B_tool
94fc8ff668e510f4	PhageMine	Pharokka
3b876b0f58e17917	PhageMine	Pharokka
93b3ae35123e88c6	PhageMine	Pharokka
eebb3480d2951b4f	Pharokka	PhageMine
b8dcf52b075f7fa5	Pharokka	PhageMine
ef4efa33580ffe4e	Pharokka	PhageMine
124a3a7b733faa52	Pharokka	PhageMine
3ec63895c00ab344	PhageMine	Pharokka
47c1e2d78b75c6e1	PhageMine	Pharokka
3ba5746df56c281c	Pharokka	PhageMine
859ed84bfe2f490d	Pharokka	PhageMine
0c354c13fbf73a94	PhageMine	Pharokka
878daed9d44ff9b7	Pharokka	PhageMine
07396d076c76309e	Pharokka	PhageMine
9d7d45ce489190ed	Pharokka	PhageMine
bb9586e8de86f0d6	Pharokka	PhageMine
e2b3ada06b7ac8a7	PhageMine	Pharokka
69c7e7570eed7013	PhageMine	Pharokka
3fd4c973315b669e	PhageMine	Pharokka
b5c0dddab96cba66	Pharokka	PhageMine
147cdb05f95c4e63	PhageMine	Pharokka
1d9307270e59b7e6	PhageMine	Pharokka
b44de53b382ee891	PhageMine	Pharokka
23f24e970b9d6353	PhageMine	Pharokka
3d3562cd6189986c	PhageMine	Pharokka
80d6dd0999f25799	PhageMine	Pharokka
1221f59570ddb22e	Pharokka	PhageMine
be44462d2b72c4a3	Pharokka	PhageMine
de4714a8f8b7b574	PhageMine	Pharokka
974ccf92bf9f3606	PhageMine	Pharokka
ee92068ec493d606	PhageMine	Pharokka
5cc90bf64b56e70c	Pharokka	PhageMine
fae87b56aa791ed5	PhageMine	Pharokka
95a966ef4ce67c57	Pharokka	PhageMine
